time,RUC,kappa,sliding_frame,time_local,Total_Number_Incidents
2019-01-09 20:10:00,0.0030899996185791,0.5,3,,0.0
2019-01-10 10:55:00,0.0046192677979556,0.5,3,,0.0
2019-01-10 11:00:00,0.0093540955776081,0.5,3,,0.0
2019-01-10 11:05:00,0.0093540955776081,0.5,3,,0.0
2019-01-10 11:10:00,0.0047348277796525,0.5,3,,0.0
2019-01-10 11:15:00,0.0069757002413401,0.5,3,,0.0
2019-01-10 11:20:00,0.0231551975203438,0.5,3,,0.0
2019-01-10 11:25:00,0.0305483151414832,0.5,3,,0.0
2019-01-10 11:30:00,0.023572614900143,0.5,3,,0.0
2019-01-10 11:35:00,0.0175672855090974,0.5,3,,0.0
2019-01-10 11:40:00,0.0307029089476423,0.5,3,,0.0
2019-01-10 11:45:00,0.0307029089476423,0.5,3,,0.0
2019-01-10 11:50:00,0.0300690527888543,0.5,3,,0.0
2019-01-10 11:55:00,0.0207380492483509,0.5,3,,0.0
2019-01-10 12:00:00,0.0207380492483509,0.5,3,,0.0
2019-01-10 12:05:00,0.0059898529212927,0.5,3,,0.0
2019-01-10 15:50:00,0.0008252233265603,0.5,3,,0.0
2019-01-10 15:55:00,0.0008252233265603,0.5,3,,0.0
2019-01-10 16:00:00,0.0044311570740948,0.5,3,,0.0
2019-01-10 16:05:00,0.0036059337475344,0.5,3,,0.0
2019-01-10 16:10:00,0.0036059337475344,0.5,3,,0.0
2019-01-10 16:15:00,0.0214029244158319,0.5,3,,0.0
2019-01-10 16:20:00,0.0496096798761929,0.5,3,,0.0
2019-01-10 16:25:00,0.1054125604125918,0.5,3,,0.0
2019-01-10 16:30:00,0.1385817252240151,0.5,3,,0.0
2019-01-10 16:35:00,0.1533409566517597,0.5,3,,0.0
2019-01-10 16:40:00,0.1167964545848126,0.5,3,,0.0
2019-01-10 16:45:00,0.0955021235638566,0.5,3,,0.0
2019-01-10 16:50:00,0.1069406321808315,0.5,3,,0.0
2019-01-10 16:55:00,0.1596921869799404,0.5,3,,0.0
2019-01-10 17:00:00,0.2164654487094878,0.5,3,,0.0
2019-01-10 17:05:00,0.2566241197682554,0.5,3,,0.0
2019-01-10 17:10:00,0.279216169574892,0.5,3,,0.0
2019-01-10 17:15:00,0.2674001683437322,0.5,3,,0.0
2019-01-10 17:20:00,0.2525390079366593,0.5,3,,0.0
2019-01-10 17:25:00,0.2481621506015014,0.5,3,,0.0
2019-01-10 17:30:00,0.2496540507983545,0.5,3,,0.0
2019-01-10 17:35:00,0.2439017893989035,0.5,3,,0.0
2019-01-10 17:40:00,0.2268650246826175,0.5,3,,0.0
2019-01-10 17:45:00,0.2300812723873141,0.5,3,,0.0
2019-01-10 17:50:00,0.2667520153307261,0.5,3,,0.0
2019-01-10 17:55:00,0.2786624350909398,0.5,3,,0.0
2019-01-10 18:00:00,0.2997246246121368,0.5,3,,0.0
2019-01-10 18:05:00,0.2728060492857667,0.5,3,,0.0
2019-01-10 18:10:00,0.2331367419650043,0.5,3,,0.0
2019-01-10 18:15:00,0.1387575238432027,0.5,3,,0.0
2019-01-10 18:20:00,0.0555886503640716,0.5,3,,0.0
